pair_id,img1,img2,gt_txt,n_inliers,inlier_rmse_px,mse_matrix,mse_sar50,out_dir
49,pair49_1.jpg,pair49_2.jpg,gt_49.txt,3,0.000000,144152.600884,21983799079.049377,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_49
50,pair50_1.jpg,pair50_2.jpg,gt_50.txt,3,0.000004,1651563814888.031250,525392560.633251,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_50
51,pair51_1.jpg,pair51_2.jpg,gt_51.txt,4,0.463317,28973.106488,8847140300.138893,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_51
52,pair52_1.jpg,pair52_2.jpg,gt_52.txt,4,0.530846,56507.864144,228922228122048.281250,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_52
53,pair53_1.jpg,pair53_2.jpg,gt_53.txt,3,0.000000,403807.913015,105414081.569139,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_53
54,pair54_1.jpg,pair54_2.jpg,gt_54.txt,4,0.158053,19674.129358,648254608.873341,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_54
55,pair55_1.jpg,pair55_2.jpg,gt_55.txt,4,0.827709,445002.232307,19123505.275595,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_55
56,pair56_1.jpg,pair56_2.jpg,gt_56.txt,4,0.560376,63346.308536,235829206.967059,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_56
57,pair57_1.jpg,pair57_2.jpg,gt_57.txt,4,0.345348,651935.923659,2029383.613827,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_57
58,pair58_1.jpg,pair58_2.jpg,gt_58.txt,4,0.346793,110571.489640,122549023.504611,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_58
59,pair59_1.jpg,pair59_2.jpg,gt_59.txt,3,0.000000,783057.605320,640253.221980,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_59
60,pair60_1.jpg,pair60_2.jpg,gt_60.txt,4,0.174767,99911177.547028,1700973.684411,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_60
61,pair61_1.jpg,pair61_2.jpg,gt_61.txt,4,0.974172,242721.639281,204407067.722413,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_61
62,pair62_1.jpg,pair62_2.jpg,gt_62.txt,4,0.749197,52371.588098,4931120509.518887,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_62
63,pair63_1.jpg,pair63_2.jpg,gt_63.txt,4,0.383367,45060.552426,34734473463313.761719,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_63
64,pair64_1.jpg,pair64_2.jpg,gt_64.txt,4,0.850993,153084.755322,4574264717989.643555,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_64
65,pair65_1.jpg,pair65_2.jpg,gt_65.txt,3,0.000136,8715512572.851906,166945525007.549500,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_65
66,pair66_1.jpg,pair66_2.jpg,gt_66.txt,4,0.627605,29705.064342,32080224.958908,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_66
67,pair67_1.jpg,pair67_2.jpg,gt_67.txt,4,0.857685,91708.852929,21705653013.551636,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_67
68,pair68_1.jpg,pair68_2.jpg,gt_68.txt,4,0.527987,135027.812853,1314226281.992789,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_68
69,pair69_1.jpg,pair69_2.jpg,gt_69.txt,4,0.946054,6581031.713320,28048107.331358,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_69
70,pair70_1.jpg,pair70_2.jpg,gt_70.txt,4,1.008510,1015.661636,29039582.676068,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_70
71,pair71_1.jpg,pair71_2.jpg,gt_71.txt,3,0.000001,4885772993.210095,12111206508.182287,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_71
72,pair72_1.jpg,pair72_2.jpg,gt_72.txt,4,0.992690,78339.624033,12610421969915.964844,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_72
73,pair73_1.jpg,pair73_2.jpg,gt_73.txt,3,0.000000,62156.644618,1189861293.052786,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_73
74,pair74_1.jpg,pair74_2.jpg,gt_74.txt,4,0.065716,43565.124107,647270349589.433472,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_74
